date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:01	148521/148521	---M--	200	added ('OK')	text/html	etag:%221a4399c-24429-5b1a27303cb00%22	https://portotheme.com/html/molla/index-28.html	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/index-28.html	(from )
23:07:03	67/67	---MC-	200	added ('OK')	text/plain	date:Thu,%2020%20Oct%202022%2017:07:00%20GMT	https://portotheme.com/robots.txt		(from )
23:07:03	13188/13188	---M--	200	added ('OK')	application/javascript	etag:%221a43cd0-3384-5b28dd885cf1a%22	https://portotheme.com/html/molla/assets/js/webfont.js	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/assets/js/webfont.js	(from https://portotheme.com/html/molla/index-28.html)
23:07:04	1105/1105	---M--	200	added ('OK')	image/png	etag:%2218c11d7-451-5b28dd862978a%22	https://portotheme.com/html/molla/assets/images/icons/apple-touch-icon.png	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/assets/images/icons/apple-touch-icon.png	(from https://portotheme.com/html/molla/index-28.html)
23:07:04	369/369	---M--	200	added ('OK')	image/png	etag:%2218c11da-171-5b28dd8629f5a%22	https://portotheme.com/html/molla/assets/images/icons/favicon-32x32.png	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/assets/images/icons/favicon-32x32.png	(from https://portotheme.com/html/molla/index-28.html)
23:07:05	303/303	---M--	200	added ('OK')	image/png	etag:%2218c11d9-12f-5b28dd86293a2%22	https://portotheme.com/html/molla/assets/images/icons/favicon-16x16.png	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/assets/images/icons/favicon-16x16.png	(from https://portotheme.com/html/molla/index-28.html)
23:07:06	434/434	---M--	200	added ('OK')	text/html	etag:%2218c11de-1b2-5b28dd8628fba%22	https://portotheme.com/html/molla/assets/images/icons/site.webmanifest	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/assets/images/icons/site.html	(from https://portotheme.com/html/molla/index-28.html)
23:07:06	905/905	---M--	200	added ('OK')	image/svg+xml	etag:%2218c11dd-389-5b28dd86293a2%22	https://portotheme.com/html/molla/assets/images/icons/safari-pinned-tab.svg	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/assets/images/icons/safari-pinned-tab.svg	(from https://portotheme.com/html/molla/index-28.html)
23:07:07	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%2218c11db-3aee-5b28dd8629b72%22	https://portotheme.com/html/molla/assets/images/icons/favicon.ico	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/assets/images/icons/favicon.ico	(from https://portotheme.com/html/molla/index-28.html)
23:07:07	28101/28101	---M--	200	added ('OK')	text/css	etag:%2218c13cf-6dc5-5b28dd833b3b7%22	https://portotheme.com/html/molla/assets/vendor/line-awesome/line-awesome/line-awesome/css/line-awesome.min.css	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/assets/vendor/line-awesome/line-awesome/line-awesome/css/line-awesome.min.css	(from https://portotheme.com/html/molla/index-28.html)
23:07:08	13154/13154	---M--	200	added ('OK')	text/css	etag:%2218c0b9b-3362-5b28dd8313318%22	https://portotheme.com/html/molla/assets/css/plugins/owl-carousel/owl.carousel.css	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/assets/css/plugins/owl-carousel/owl.carousel.css	(from https://portotheme.com/html/molla/index-28.html)
23:07:09	155758/155758	---M--	200	added ('OK')	text/css	etag:%2218c0b5c-2606e-5b28dd82150b7%22	https://portotheme.com/html/molla/assets/css/bootstrap.min.css	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/assets/css/bootstrap.min.css	(from https://portotheme.com/html/molla/index-28.html)
23:07:09	1440/1440	---M--	200	added ('OK')	text/css	etag:%2218c0b95-5a0-5b28dd83142b8%22	https://portotheme.com/html/molla/assets/css/plugins/jquery.countdown.css	C:/Users/Belal%20Ahmed/Desktop/molla/ecommerce/portotheme.com/html/molla/assets/css/plugins/jquery.countdown.css	(from https://portotheme.com/html/molla/index-28.html)
